
                ,date,Total,no.of Order
                ,2022-12-8,961,1
                            ,2022-12-4,2562,2
                            ,2022-11-29,427,1
                            ,2022-11-24,1174,1
                            ,2022-11-23,4860,4
                            ,2022-11-22,4646,2
                            ,2022-11-21,27358,24
                            ,2022-11-20,6534,5
                            ,2022-11-19,14063,2
                            ,2022-11-18,12398,7
                            ,2022-11-17,1759,2
            ,GrandTotal,
